Country,Country_Revenue,Orders,Customers
United Kingdom,3272810.139999725,7187,2713
EIRE,97500.23000000005,100,3
Germany,94022.47999999986,182,71
Netherlands,89850.96000000004,37,8
France,85119.94999999987,169,63
Australia,49209.71,25,7
Switzerland,27692.509999999987,18,11
Spain,25007.249999999993,36,18
Japan,17134.16,9,4
Belgium,16942.55,40,19
Norway,14655.100000000013,17,6
Portugal,13162.269999999999,24,13
Finland,11357.6,17,7
Sweden,9316.359999999999,15,5
Singapore,8209.580000000002,3,1
Channel Islands,7894.960000000001,11,6
Cyprus,5385.91,7,5
Denmark,4863.56,7,6
Poland,3904.2100000000005,11,4
Italy,3664.1100000000015,11,6
Austria,2999.6900000000005,7,5
Iceland,2540.29,5,1
USA,2464.75,3,3
Greece,2099.2800000000007,4,3
Canada,1751.8799999999999,2,2
Lithuania,1661.06,4,1
Unspecified,1151.7800000000002,2,2
United Arab Emirates,975.5400000000001,1,1
Malta,833.1600000000001,1,1
Bahrain,459.4,1,1
European Community,432.05,2,1
Czech Republic,277.47999999999996,1,1
Israel,138.03000000000006,2,1
