StockCode,Description,Product_Revenue,Product_Quantity
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995.0
22423,REGENCY CAKESTAND 3 TIER,62421.66000000002,5412.0
85123A,WHITE HANGING HEART T-LIGHT HOLDER,47912.03000000008,17439.0
22502,PICNIC BASKET WICKER 60 PIECES,39619.5,61.0
85099B,JUMBO BAG RED RETROSPOT,37977.379999999925,20586.0
POST,POSTAGE,35247.15,1244.0
84879,ASSORTED COLOUR BIRD ORNAMENT,28511.93000000008,18065.0
47566,PARTY BUNTING,28271.519999999975,6324.0
M,Manual,26016.79,3418.0
21137,BLACK RECORD COVER FRAME,22447.010000000002,6582.0
